Index,Height,Weight,BMI
1,65.78,112.99,40.47464981371424
2,71.52,136.49,41.35963065059163
3,69.4,153.03,49.24798511884492
4,68.22,142.34,47.406114477700356
5,67.79,144.3,48.67050952695059
6,68.7,123.3,40.49304462157472
7,69.8,141.49,45.01380558882932
8,70.01,136.46,43.153501582945644
9,67.9,112.37,37.77823483226003
10,66.78,120.67,41.94085820569541
11,66.49,127.45,44.684613256186196
12,67.62,114.14,38.69174928207204
13,68.3,125.61,41.73627043917434
14,67.12,122.46,42.13288413534685
15,68.28,116.09,38.5956727941719
16,71.09,140.0,42.938002485699776
17,66.46,129.5,45.444352941757124
18,68.65,142.97,47.02130343186062
19,71.23,137.9,42.127841429498304
20,67.13,124.04,42.66377622551422
21,67.83,141.28,47.59571788782864
22,68.88,143.54,46.89402326767014
23,63.48,97.9,37.656476879827395
24,68.42,129.5,42.8779939142499
25,67.63,141.85,48.0708049911224
26,67.21,129.72,44.51126928123208
27,70.84,142.42,43.98906246323459
28,67.49,131.55,44.76543672055509
29,66.53,108.33,37.935387605541294
30,65.44,113.89,41.22207424861647
31,69.52,103.3,33.12925152922688
32,65.81,120.75,43.21496716972032
33,67.82,125.79,42.389800809965784
34,70.6,136.22,42.36061956158865
35,71.8,140.1,42.123075878135644
36,69.21,128.75,41.66202438835329
37,66.8,141.8,49.25543234339705
38,67.66,121.23,41.04657719117576
39,67.81,131.35,44.276513743074155
40,64.05,106.71,40.31787938872404
41,68.57,124.36,40.996166097269615
42,65.18,124.86,45.553887813773365
43,69.66,139.67,44.613574662799635
44,67.97,137.37,46.08803457067846
45,65.98,106.45,37.901105087692706
46,68.67,128.76,42.323122634047394
47,66.88,145.68,50.48219539995937
48,67.7,116.82,39.50669450503895
49,69.82,143.62,45.665273492889725
50,69.09,134.93,43.813602579873354
51,69.91,147.02,46.62605200453795
52,67.33,126.33,43.193669088735206
53,70.27,125.48,39.388136339434745
54,69.1,115.71,37.56173361851048
55,65.38,123.49,44.7788347176836
56,70.18,147.89,46.541771620969584
57,70.41,155.9,48.74255115325597
58,66.54,128.07,44.83453254217276
59,66.36,119.37,42.015861105979006
60,67.54,133.81,45.46710344757586
61,66.5,128.73,45.11981478591214
